PropertyStateProvinceID,PropertyStateProvinceName
1,
2,NSW
3,SA
4,WA
5,VIC
6,QLD
7,TAS
8,ACT
9,NT
10,AC
11,AM
12,SP
13,GO
14,MG
15,CE
16,SC
17,RS
18,PA
19,BA
20,MS
21,PI
22,RJ
23,RO
24,PR
25,RN
26,MT
27,PB
28,PE
29,AL
30,MA
31,SE
32,ES
33,DF
34,QC
35,AB
36,ON
37,BC
38,NB
39,NS
40,MB
41,SK
42,NL
43,MH
44,UP
45,MP
46,GJ
47,KA
48,JH
49,TN
50,WB
51,KL
52,AN
53,DL
54,GA
55,OR
56,CT
57,AP
58,JK
59,CH
60,UK
61,BR
62,PY
63,HR
64,HP
65,AS
66,QUE
67,ROO
68,TAM
69,MIC
70,NLE
71,PUE
72,AGU
73,GUA
74,YUC
75,VER
76,CHH
77,MEX
78,OAX
79,NAY
80,JAL
81,BCN
82,DIF
83,GRO
84,SIN
85,COA
86,TAB
87,SON
88,CHP
89,COL
90,TLA
91,CAM
92,SLP
93,BCS
94,IL
95,MN
96,TX
97,MI
98,IA
99,WI
100,SD
101,ND
102,HI
103,IN
104,FL
105,CA
106,NE
107,WY
108,OH
109,MO
110,NV
111,CO
112,MD
113,DC
114,KS
115,VT
116,UT
117,NY
118,OK
119,NC
120,NJ
121,VA
122,KY
123,NM
124,LA
125,AR
126,ID
127,AZ
128,AK
129,DE
130,RI
131,ME
132,NH
133,WV
134,VI
135,YT
136,TG
137,ZAC
138,MOR
139,DUR
140,HID
141,NF
142,NU
143,GU
144,DN
145,RR
146,ML
147,DD
148,LD
149,TO
150,TR
151,QL
152,TS
153,BZO
154,MW
155,PMI
156,KT
